step,a,b,c,x,xprime,y
13161,1,1,0,10000,0,0
13168,1,1,1,9998,1,0
13180,1,1,2,9996,2,0
13182,1,1,1,9996,2,0
13184,1,1,2,9994,3,0
13188,1,1,1,9994,3,0
13211,1,1,2,9992,4,0
13213,1,1,3,9990,5,0
13217,1,1,2,9990,5,0
13220,1,1,3,9988,6,0
13222,1,1,4,9986,7,0
13228,1,1,3,9986,7,0
13229,1,1,4,9984,8,0
13239,1,1,5,9982,9,0
13240,0,1,5,9982,9,0
13242,0,1,4,9982,9,0
13245,0,1,3,9982,9,0
13274,0,1,2,9982,9,0
13284,0,1,1,9982,9,0
14140,0,1,0,9982,9,1
14161,0,1,0,9983,8,1
15016,0,1,0,9984,7,1
15424,0,1,0,9985,6,1
16040,0,1,0,9986,5,1
17499,0,1,0,9987,4,1
21091,0,1,0,9988,3,1
21383,1,1,0,9988,3,1
21387,1,1,1,9986,4,1
21391,1,1,2,9984,5,1
21393,1,1,1,9984,5,1
21398,1,1,2,9982,6,1
21400,1,1,3,9980,7,1
21401,1,1,2,9980,7,1
21407,1,1,3,9978,8,1
21409,1,1,2,9978,8,1
21411,1,1,1,9978,8,1
21432,1,1,2,9976,9,1
21434,1,1,1,9976,9,1
21437,1,1,2,9974,10,1
21440,1,1,3,9972,11,1
21442,1,1,4,9970,12,1
21452,1,1,5,9968,13,1
21460,1,1,4,9968,13,1
21463,1,1,3,9968,13,1
21469,1,1,4,9966,14,1
21480,1,1,5,9964,15,1
21485,1,1,4,9964,15,1
21486,0,1,4,9964,15,1
21496,0,1,3,9964,15,1
21511,0,1,2,9964,15,1
21521,0,1,1,9964,15,1
21522,0,1,1,9965,14,1
21565,0,1,1,9966,13,1
24137,0,1,1,9967,12,1
25445,0,1,1,9968,11,1
25682,0,1,0,9968,11,2
26037,0,1,0,9969,10,2
26628,0,1,0,9970,9,2
26968,0,1,0,9971,8,2
27769,0,1,0,9972,7,2
29874,0,1,0,9973,6,2
30290,0,1,0,9974,5,2
30691,0,1,0,9975,4,2
31202,0,1,0,9976,3,2
32512,0,1,0,9977,2,2
32964,0,1,0,9978,1,2
33795,0,1,0,9979,0,2
45104,1,1,0,9979,0,2
45123,1,1,1,9977,1,2
45128,1,1,2,9975,2,2
45131,1,1,3,9973,3,2
45133,1,1,4,9971,4,2
45139,1,1,5,9969,5,2
45143,1,1,4,9969,5,2
45144,1,1,3,9969,5,2
45145,1,1,4,9967,6,2
45148,1,1,5,9965,7,2
45149,1,1,6,9963,8,2
45158,1,1,5,9963,8,2
45161,1,1,6,9961,9,2
45164,1,1,7,9959,10,2
45181,0,1,7,9959,10,2
45194,0,1,6,9959,10,2
45220,0,1,5,9959,10,2
45221,0,1,4,9959,10,2
45228,0,1,3,9959,10,2
45231,0,1,2,9959,10,2
45245,0,1,1,9959,10,2
45408,0,1,0,9959,10,3
45480,0,1,0,9960,9,3
45585,0,1,0,9961,8,3
46046,1,1,0,9961,8,3
46061,1,1,1,9959,9,3
46064,1,1,2,9957,10,3
46070,1,1,1,9957,10,3
46074,1,1,2,9955,11,3
46078,1,1,3,9953,12,3
46083,0,1,3,9953,12,3
46087,0,1,2,9953,12,3
46089,0,1,1,9953,12,3
46607,0,1,0,9953,12,4
47123,0,1,0,9954,11,4
47372,0,1,0,9955,10,4
47497,0,1,0,9956,9,4
47988,0,1,0,9957,8,4
48166,0,1,0,9958,7,4
49287,0,1,0,9959,6,4
53546,0,1,0,9960,5,4
54621,0,1,0,9961,4,4
54677,0,1,0,9962,3,4
57557,0,1,0,9963,2,4
57640,0,1,0,9964,1,4
58967,0,1,0,9965,0,4
62167,1,1,0,9965,0,4
62189,1,1,1,9963,1,4
62221,1,1,2,9961,2,4
62222,1,1,1,9961,2,4
62227,1,1,2,9959,3,4
62228,1,1,3,9957,4,4
62234,1,1,4,9955,5,4
62237,1,1,5,9953,6,4
62240,1,1,6,9951,7,4
62242,1,1,5,9951,7,4
62247,1,1,6,9949,8,4
62254,1,1,7,9947,9,4
62261,1,1,6,9947,9,4
62263,1,1,7,9945,10,4
62264,1,1,8,9943,11,4
62277,1,1,9,9941,12,4
62278,1,1,10,9939,13,4
62283,1,1,9,9939,13,4
62285,1,1,10,9937,14,4
62286,1,1,11,9935,15,4
62291,1,1,10,9935,15,4
62303,1,1,9,9935,15,4
62304,1,1,10,9933,16,4
62309,1,1,9,9933,16,4
62310,1,1,10,9931,17,4
62311,1,1,11,9929,18,4
62320,1,1,10,9929,18,4
62332,1,1,11,9927,19,4
62334,1,1,12,9925,20,4
62338,1,1,13,9923,21,4
62343,1,1,14,9921,22,4
62354,1,1,13,9921,22,4
62356,1,1,14,9919,23,4
62357,1,1,13,9919,23,4
62363,0,1,13,9919,23,4
62366,0,1,12,9919,23,4
62368,0,1,11,9919,23,4
62420,0,1,10,9919,23,4
62425,0,1,9,9919,23,4
62431,0,1,8,9919,23,4
62434,0,1,7,9919,23,4
62436,0,1,6,9919,23,4
62441,0,1,5,9919,23,4
62458,0,1,4,9919,23,4
62466,0,1,3,9919,23,4
62476,0,1,2,9919,23,4
62531,0,1,1,9919,23,4
63051,0,1,1,9920,22,4
63067,0,1,1,9921,21,4
63971,0,1,1,9922,20,4
64207,0,1,1,9923,19,4
64273,0,1,1,9924,18,4
64612,0,1,0,9924,18,5
65468,0,1,0,9925,17,5
66298,0,1,0,9926,16,5
68810,0,1,0,9927,15,5
70152,0,1,0,9928,14,5
70607,0,1,0,9929,13,5
70699,0,1,0,9930,12,5
71085,0,1,0,9931,11,5
71260,0,1,0,9932,10,5
71348,0,1,0,9933,9,5
72019,0,1,0,9934,8,5
72262,0,1,0,9935,7,5
72862,0,1,0,9936,6,5
73178,0,1,0,9937,5,5
73395,1,1,0,9937,5,5
73400,1,1,1,9935,6,5
73407,1,1,2,9933,7,5
73410,1,1,1,9933,7,5
73426,1,1,2,9931,8,5
73431,1,1,1,9931,8,5
73439,1,1,2,9929,9,5
73448,1,1,3,9927,10,5
73450,1,1,2,9927,10,5
73457,1,1,1,9927,10,5
73460,1,1,2,9925,11,5
73463,1,1,3,9923,12,5
73477,1,1,2,9923,12,5
73481,1,1,3,9921,13,5
